sn,species,lab_no,sex,pref_age,pref_status,blank_space,postf_age,postf_status,blanck,ageC,statusC,blanck,year,nest_ID,lay_date,Chick_trivial_ID,Ring_ID,site,Relative_hatch_order,hatch_order,age_diff,clutch_size,brood_size,No_fledgelings,Fledged?,Fledge_age,Fledge_mass,Fledge_tarsus,Fledge_FS,Fledge_FSO,blanck,ID_Bio_mom,ID_Bio_dad,paternity_text,paternity,Fledged,got_sender,Excluded_from_sendered,Last_recorded_age_days,Final_status,Details_about_final_status,Issues
45,BC,WG06_103,F,3,0,,NA,NA,,3,0,,2001,2001_21,116,chick F2 Nest 3 Y5,,Kapunga,0.8,3,2,4,4,0,No,NA,NA,NA,NA,NA,,WG06_005,WG06_004,WPO,0,No,No,,3,Censored,,
46,BC,WG06_104,M,5,0,,NA,NA,,5,0,,2001,2001_21,116,chick #4 Nest 3 Y5-3,,Kapunga,0.2,1,0,4,4,0,No,NA,NA,NA,NA,NA,,WG06_005,WG06_004,WPO,0,No,No,,5,Censored,,
47,BC,WG06_049,F,12,0,,NA,NA,,12,0,,2001,2001_22,93,Y5 chick 1,,Kapunga,0.2,1,0,4,4,4,Yes,12,77,28.1,32,0,,WG06_005,WG06_013,EPO,1,Yes,No,,12,Censored,,
48,BC,WG06_057,F,13,0,,NA,NA,,13,0,,2001,2001_22,93,GN 41756 chick RBC,GN 41756,Kapunga,0.8,3,2,4,4,4,Yes,13,72,29.7,32,7,,WG06_005,WG06_004,WPO,0,Yes,No,,13,Censored,,
49,BC,WG06_065,M,12,0,,NA,NA,,12,0,,2001,2001_22,93,"Y5 chick li 1, 4 REC",,Kapunga,1,4,3,4,4,4,Yes,12,52,25,26,0,,WG06_005,WG06_004,WPO,0,Yes,No,,12,Censored,,
50,BC,WG06_090,F,11,0,,NA,NA,,11,0,,2001,2001_22,93,chick #2 Y5 chick,,Kapunga,0.4,2,1,4,4,4,Yes,11,77,28.2,24,0,,WG06_005,WG06_004,WPO,0,Yes,No,,11,Censored,,
51,BC,WG06_075,M,13,0,,NA,NA,,13,0,,2001,2001_JuvenileGN41704,79,GN 41747 chick,GN 41747,Kapunga,NA,NA,NA,NA,NA,NA,yes,14,73,30.2,33,10,,BC#6,WG06_003,WPO,0,yes,No,,13,Censored,,
52,BC,WG06_070,M,13,0,,NA,NA,,90,0,,2001,2001_JuvenileGN41748,80,GN 41748,GN 41748,Kapunga,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,,BC#7,BC*3,WPO,0,Yes,No,,90,Censored,,
53,BC,WG06_170,F,4,1,,NA,NA,,4,1,,2002,2002_02,35,C1 YGLC #1,,Kapunga,0.4,2,1,4,2,0,No,NA,NA,NA,NA,NA,,BC#8,WG06_149,WPO,0,No,No,,4,dead,drowned,
54,BC,WG06_171,M,5,1,,NA,NA,,5,1,,2002,2002_02,35,C2 YGLC #2,,Kapunga,0.2,1,0,4,2,0,No,NA,NA,NA,NA,NA,,BC#8,WG06_149,WPO,0,No,No,,5,dead,drowned,
55,BC,WG06_180,M,13,0,,NA,NA,,13,0,,2002,2002_05,59,C12 D7/8 chick 1 re/4,,Kapunga,0.2,1,0,4,4,3,Yes,13,75,28.3,31,1,,WG06_146,BC*4,WPO,0,Yes,No,,13,Censored,,
56,BC,WG06_182,M,12,0,,NA,NA,,12,0,,2002,2002_05,59,C14 D7/8 chick 4,,Kapunga,1,4,3,4,4,3,Yes,12,60,26.6,29,0,,WG06_146,BC*4,WPO,0,Yes,No,,12,Censored,,
57,BC,WG06_184,F,14,0,,NA,NA,,14,0,,2002,2002_05,59,C16 D7/8 chick 3,,Kapunga,0.8,3,2,4,4,3,Yes,14,74,29.8,33,1,,WG06_146,WG06_145,EPO,1,Yes,No,,14,Censored,,
58,BC,WG06_175,F,12,0,,NA,NA,,12,0,,2002,2002_06,53,C7 YGC chcik 1,,Kapunga,0.2,1,0,3,2,2,Yes,12,80,28,31.5,0,,WG06_146,WG06_145,WPO,0,Yes,No,,12,Censored,,
59,BC,WG06_176,M,11,0,,NA,NA,,11,0,,2002,2002_06,53,C8 YGC chick 2,,Kapunga,0.6,2,1,3,2,2,Yes,11,70,26.3,27.5,0,,WG06_146,BC*5,EPO,1,Yes,No,,11,Censored,,
60,BC,WG06_172,M,13,0,,NA,NA,,13,0,,2002,2002_08,42,C3 D12/13 end chick 1,,Kapunga,1,4,3,4,4,4,Yes,13,55,28,32,0.5,,WG06_021,WG06_152,WPO,0,Yes,No,,13,Censored,,
61,BC,WG06_173,F,15,0,,NA,NA,,15,0,,2002,2002_08,42,C4 GN 41800,GN 41800,Kapunga,0.4,2,1,4,4,4,Yes,15,66,28.2,24,0,,WG06_021,WG06_152,WPO,0,Yes,No,,15,Censored,,
62,BC,WG06_174,M,15,0,,NA,NA,,15,0,,2002,2002_08,42,C6 D12/13 end chick 4,,Kapunga,0.8,3,2,4,4,4,Yes,15,61,29.1,37,0.5,,WG06_021,WG06_152,WPO,0,Yes,No,,15,Censored,,
63,BC,WG06_196,F,16,0,,NA,NA,,16,0,,2002,2002_08,42,C5 GN 44351 D12/13,GN 44351,Kapunga,0.2,1,0,4,4,4,Yes,16,75,30.6,42,1.5,,WG06_021,WG06_152,WPO,0,Yes,No,,16,Censored,,
64,BC,WG06_177,M,13,0,,NA,NA,,13,0,,2002,2002_09,50,C9 D2/3 end chick 1,,Kapunga,0.8,3,2,4,3,3,Yes,13,60,27.7,NA,0,,BC#9,WG06_153,WPO,0,Yes,No,,13,Censored,,
65,BC,WG06_178,F,13,0,,NA,NA,,13,0,,2002,2002_09,50,C10 GN 44354 chick D8/9 ? End,GN 44354,Kapunga,0.4,2,1,4,3,3,Yes,13,83,28.3,29,0,,BC#9,WG06_155,EPO,1,Yes,No,,13,Censored,,
66,BC,WG06_179,F,14,0,,NA,NA,,14,0,,2002,2002_09,50,C11 GN 44355 chick D?,GN 44355,Kapunga,0.2,1,0,4,3,3,Yes,14,81,29.7,32,0,,BC#9,WG06_153,WPO,0,Yes,No,,14,Censored,,
67,BC,WG06_188,M,8,1,,NA,NA,,8,1,,2002,2002_10,64,"C20 C13/14 chick 1 re 1,4",,Kapunga,0.2,1,0,6,4,0,No,NA,NA,NA,NA,NA,,WG06_157,BC*6,WPO,0,No,No,,8,dead,bird of prey,
